StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q_BallotBoxStuffing,Q4.1,Q4.2,Sex,Age,Q90,Q91,Q92,Q93,Education,Race,Income,physical_health,DOB_month,DOB_day,DOB_year,FTP_1,FTP_2,FTP_3,FTP_4,FTP_5,FTP_6,FTP_7,FTP_8,FTP_9,FTP_10,PR1,PR2,CT1,CT2,CT3,CT4,1d_1,1d_05,1d_005,4d_1,4d_05,4d_005,7d_1,7d_05,7d_005,1w_005,1w_05,1w_1,2w_1,2w_05,2w_005,4w_1,4w_05,4w_005,1m_005,1m_05,1m_1,6m_1,6m_05,6m_005,12m_1,12m_05,12m_005,1y_005,1y_05,1y_1,5y_1,5y_05,5y_005,10y_1,10y_05,10y_005,liquid_savings,confidence,investments,health_ins,extra_money,opp,Q_TotalDuration,RISN,rid,PID,psid,study,K2,med,rnid,gid,sname,viga,cintid,ProjectToken,tid,gc,term,LS
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Q_BallotBoxStuffing,"Are you currently experiencing or have you previously experienced any psychological health issues (for example, depression, bipolar, anxiety, OCD, ADD/ADHD, eating disorder, addiction, etc.)?","Are you currently experiencing or have you previously experienced any neurological health issues (for example, seizure, stroke, dementia, Alzheimer's, Parkinson's, etc.)?",Are you male or female?,What is your age?,Which of the following best describes the nature of your participation in this study?,What will you be expected to do in this study?,What should you do if you have further questions about this study?,"If you are 18 years of age or older, understand the statements above, and freely consent to participate in the study, click on the ""I consent"" button to begin the experiment.  If you are not  18 years of age or older, do not understand the statements above, or do not freely consent to participate in the study, click on the ""I do not consent"" button to exit the experiment.",What is the highest level of education you've completed?,What is your race/ethnicity?,"What was your total household income last year?  (If a student, select your approximate family income)",How do you feel about your general physical health these days?,What is your date of birth? - Month,What is your date of birth? - Day,What is your date of birth? - Year,"Read each item and, as honestly as you can, answer the questions: ""How true is this of you?"" Select the oval under the appropriate number on the scale, where 1 means the statement is very untrue for you and 7 means the statement is very true for you. 
How true is this of you? - Many opportunities await me in the future.","Read each item and, as honestly as you can, answer the questions: ""How true is this of you?"" Select the oval under the appropriate number on the scale, where 1 means the statement is very untrue for you and 7 means the statement is very true for you. 
How true is this of you? - I expect that I will set many new goals in the future.","Read each item and, as honestly as you can, answer the questions: ""How true is this of you?"" Select the oval under the appropriate number on the scale, where 1 means the statement is very untrue for you and 7 means the statement is very true for you. 
How true is this of you? - My future is filled with possibilities.","Read each item and, as honestly as you can, answer the questions: ""How true is this of you?"" Select the oval under the appropriate number on the scale, where 1 means the statement is very untrue for you and 7 means the statement is very true for you. 
How true is this of you? - Most of my life lies ahead of me.","Read each item and, as honestly as you can, answer the questions: ""How true is this of you?"" Select the oval under the appropriate number on the scale, where 1 means the statement is very untrue for you and 7 means the statement is very true for you. 
How true is this of you? - My future seems infinite to me.","Read each item and, as honestly as you can, answer the questions: ""How true is this of you?"" Select the oval under the appropriate number on the scale, where 1 means the statement is very untrue for you and 7 means the statement is very true for you. 
How true is this of you? - I could do anything I want in the future.","Read each item and, as honestly as you can, answer the questions: ""How true is this of you?"" Select the oval under the appropriate number on the scale, where 1 means the statement is very untrue for you and 7 means the statement is very true for you. 
How true is this of you? - There is plenty of time left in my life to make new plans.","Read each item and, as honestly as you can, answer the questions: ""How true is this of you?"" Select the oval under the appropriate number on the scale, where 1 means the statement is very untrue for you and 7 means the statement is very true for you. 
How true is this of you? - I have the sense that time is running out.","Read each item and, as honestly as you can, answer the questions: ""How true is this of you?"" Select the oval under the appropriate number on the scale, where 1 means the statement is very untrue for you and 7 means the statement is very true for you. 
How true is this of you? - There are only limited possibilities in my future.","Read each item and, as honestly as you can, answer the questions: ""How true is this of you?"" Select the oval under the appropriate number on the scale, where 1 means the statement is very untrue for you and 7 means the statement is very true for you. 
How true is this of you? - As I get older, I begin to experience time as limited.",Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,Which option would you prefer?,"How much money do you have in savings today (in cash, checking, and savings account balances)?","How confident are you that you could come up with $2,000 in 30 days if an unexpected need arose within the next month?","Do you currently have non-retirement Investments (such as stocks, bonds, or mutual funds)?",Do you currently have health insurance?,"If you found yourself needing extra money to make ends meet, would the following statements be true for you? Select any that apply.",opp,Q_TotalDuration,RISN,rid,PID,psid,study,K2,med,rnid,gid,sname,viga,cintid,ProjectToken,tid,gc,term,LS
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_BallotBoxStuffing""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID14""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96""}","{""ImportId"":""QID97""}","{""ImportId"":""QID98""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID18""}","{""ImportId"":""QID31_1""}","{""ImportId"":""QID31_2""}","{""ImportId"":""QID31_3""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID10_5""}","{""ImportId"":""QID10_6""}","{""ImportId"":""QID10_7""}","{""ImportId"":""QID10_8""}","{""ImportId"":""QID10_9""}","{""ImportId"":""QID10_10""}","{""ImportId"":""QID35""}","{""ImportId"":""QID44""}","{""ImportId"":""QID42""}","{""ImportId"":""QID88""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75""}","{""ImportId"":""QID76""}","{""ImportId"":""QID77""}","{""ImportId"":""QID78""}","{""ImportId"":""QID79""}","{""ImportId"":""QID80""}","{""ImportId"":""QID81""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83""}","{""ImportId"":""QID84""}","{""ImportId"":""QID86""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""opp""}","{""ImportId"":""Q_TotalDuration""}","{""ImportId"":""RISN""}","{""ImportId"":""rid""}","{""ImportId"":""PID""}","{""ImportId"":""psid""}","{""ImportId"":""study""}","{""ImportId"":""K2""}","{""ImportId"":""med""}","{""ImportId"":""rnid""}","{""ImportId"":""gid""}","{""ImportId"":""sname""}","{""ImportId"":""viga""}","{""ImportId"":""cintid""}","{""ImportId"":""ProjectToken""}","{""ImportId"":""tid""}","{""ImportId"":""gc""}","{""ImportId"":""term""}","{""ImportId"":""LS""}"
3/5/20 14:43,3/5/20 14:47,0,100,248,1,3/5/20 14:47,R_832R3XEA5IjJUBj,anonymous,EN,,2,2,1,38,2,2,1,1,2,1,10,3,2,11,63,2,2,2,3,5,4,3,5,3,5,2,2,2,1,1,2,2,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,2,2,1,1,1,2,2,2,1,2,2,1,2,4,2,1,2,Qual2303-1206EqualDistribution,248,7249589,5e617276-cf58-90ab-bc27-ac983115f601,,,,,{Invalid Expression},,,,,,,,1,,9987
3/5/20 14:43,3/5/20 14:49,0,100,343,1,3/5/20 14:49,R_3KPdDdRXBVGtB45,anonymous,EN,,2,2,2,32,2,2,1,1,5,2,6,2,11,8,68,5,4,5,4,5,5,4,5,4,5,1,1,2,1,1,2,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,2,2,1,2,2,2,7,2,2,1,1,Qual2303-1206EqualDistribution,343,7249589,5e617251-613d-1d71-c5ce-7ab43b41ad44,,,,,{Invalid Expression},,,,,,,,1,,9987
3/5/20 14:42,3/5/20 14:49,0,100,424,1,3/5/20 14:49,R_1qgmpryWoOJvBWA,anonymous,EN,,2,2,2,27,2,2,1,1,3,1,9,2,4,28,73,2,3,2,2,2,2,4,3,2,2,2,2,2,1,1,2,2,1,1,2,2,1,2,1,1,1,1,2,2,1,1,2,1,1,1,1,2,2,1,2,2,1,1,1,2,2,2,2,1,2,1,1,2,3,2,1,1,Qual2303-1206EqualDistribution,424,7249589,5e617252-1084-b31f-9621-90e541e80079,,,,,{Invalid Expression},,,,,,,,1,,9987
3/5/20 14:44,3/5/20 14:53,0,100,494,1,3/5/20 14:53,R_wYptJBKRKgUllhD,anonymous,EN,,2,2,1,79,2,2,1,1,1,8,2,4,6,1,21,7,3,3,6,3,4,7,7,6,7,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,1,1,Qual2303-1206EqualDistribution,494,7249589,5e617298-9cc3-dc5f-c0b2-3aadce5b0a69,,,,,{Invalid Expression},,,,,,,,1,,9987
3/5/20 14:49,3/5/20 14:54,0,100,313,1,3/5/20 14:54,R_1q3DgJwcUI0rBRW,anonymous,EN,,2,2,2,48,2,2,1,1,2,1,3,3,6,6,52,7,7,6,7,7,4,5,7,6,7,2,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,Qual2303-1206EqualDistribution,313,7249589,5e61739a-ed8d-1309-1265-131a351f56de,,,,,{Invalid Expression},,,,,,,,1,,9987
3/5/20 14:48,3/5/20 14:55,0,100,425,1,3/5/20 14:55,R_1dhHAUVATt0pBLD,anonymous,EN,,2,2,2,42,2,2,1,1,5,1,8,4,10,7,58,4,4,4,4,2,4,4,6,4,6,2,2,2,1,1,2,2,2,1,2,2,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,11,1,1,1,1,Qual2303-1206EqualDistribution,425,7249589,5e6173a7-7679-34fc-746c-e6d38010bd6c,,,,,{Invalid Expression},,,,,,,,1,,9987
3/5/20 14:43,3/5/20 14:56,0,100,754,1,3/5/20 14:56,R_1IYQueyhePDb79F,anonymous,EN,,2,2,2,59,2,2,1,1,2,1,3,3,7,4,41,4,4,4,4,4,4,5,3,5,4,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,1,2,2,2,1,1,2,1,1,1,2,2,2,2,1,1,2,1,1,2,2,2,2,1,2,1,1,1,2,2,2,2,Qual2303-1206EqualDistribution,754,7249589,5e617275-b515-d274-af14-ced6bc2bb84b,,,,,{Invalid Expression},,,,,,,,1,,9987
3/5/20 14:51,3/5/20 15:00,0,100,519,1,3/5/20 15:00,R_6o1iNJNmNK18ko1,anonymous,EN,,2,2,2,48,2,2,1,1,3,1,1,5,9,15,51,7,7,7,7,2,6,5,1,1,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,1,2,1,1,1,13,1,1,1,2,Qual2303-1206EqualDistribution,519,7249589,5e61744e-ac0e-d57b-bae1-a3cb528fee6f,,,,,{Invalid Expression},,,,,,,,1,,9987
3/5/20 14:55,3/5/20 15:01,0,100,337,1,3/5/20 15:01,R_OIOtJOSew0EYmad,anonymous,EN,,2,2,2,40,2,2,1,1,5,1,16,5,3,20,60,6,7,7,6,7,6,7,6,7,7,2,2,2,1,1,2,2,1,1,2,2,1,2,1,1,1,1,2,2,2,1,2,1,1,1,2,2,2,2,1,2,1,1,1,1,2,2,1,1,2,2,1,10,1,1,1,1,Qual2303-1206EqualDistribution,337,7249589,5e61751a-8584-0d61-6e0d-a85d5e3c747d,,,,,{Invalid Expression},,,,,,,,1,,9987
3/5/20 14:56,3/5/20 15:02,0,100,366,1,3/5/20 15:02,R_3Fby7X1ooBwoeiZ,anonymous,EN,,2,2,2,28,2,2,1,1,2,1,3,2,4,4,72,2,3,3,4,2,6,3,2,7,5,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,4,2,1,2,Qual2303-1206EqualDistribution,366,7249589,5e61754e-3d4c-96c3-af5e-2d04dea39a22,,,,,{Invalid Expression},,,,,,,,1,,9987
3/5/20 14:55,3/5/20 15:02,0,100,425,1,3/5/20 15:02,R_0w8fcTNpfatw0Yp,anonymous,EN,,2,2,1,49,2,2,1,1,5,2,6,5,5,13,51,6,7,7,7,7,7,6,6,6,7,2,2,2,1,1,2,1,2,1,1,1,1,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,Qual2303-1206EqualDistribution,425,7249589,5e617561-3981-293b-6621-d7bc4e331e21,,,,,{Invalid Expression},,,,,,,,1,,9987
3/5/20 14:56,3/5/20 15:04,0,100,488,1,3/5/20 15:04,R_1KweBkRjDngKGot,anonymous,EN,,2,2,2,66,2,2,1,1,2,2,2,4,5,21,34,5,5,5,5,5,5,4,4,5,4,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,2,1,1,Qual2303-1206EqualDistribution,488,7249589,5e617549-2f32-0d82-4f2e-8b95f1ffea1e,,,,,{Invalid Expression},,,,,,,,1,,9987
3/5/20 14:57,3/5/20 15:05,0,100,435,1,3/5/20 15:05,R_1P00MbZJDqheV7C,anonymous,EN,,2,2,1,37,2,2,1,1,6,1,16,4,5,7,64,7,7,7,6,5,6,7,7,6,5,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,2,1,1,1,Qual2303-1206EqualDistribution,435,7249589,5e6175bb-62eb-7d9b-87cd-20a82d63a241,,,,,{Invalid Expression},,,,,,,,1,,9987
3/5/20 14:57,3/5/20 15:06,0,100,503,1,3/5/20 15:06,R_1Ic7JCq8NZImQeS,anonymous,EN,,2,2,1,40,2,2,1,1,5,1,16,3,8,10,61,7,7,7,7,6,7,5,7,5,7,1,1,2,1,1,2,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,10,1,1,1,2,Qual2303-1206EqualDistribution,503,7249589,5e6175da-52b9-1066-f4be-1f7af5921311,,,,,{Invalid Expression},,,,,,,,1,,9987
3/5/20 15:00,3/5/20 15:07,0,100,434,1,3/5/20 15:07,R_32W03cDgcZffhnX,anonymous,EN,,2,2,2,34,2,2,1,1,1,8,3,3,9,25,66,6,7,5,6,7,6,7,7,6,7,2,1,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,4,3,2,1,1,Qual2303-1206EqualDistribution,434,7249589,5e617652-9923-dc67-a153-1030b291f558,,,,,{Invalid Expression},,,,,,,,1,,9987
3/5/20 15:02,3/5/20 15:08,0,100,370,1,3/5/20 15:08,R_BM9purftnrra14R,anonymous,EN,,2,2,2,37,2,2,1,1,3,2,8,3,10,11,63,7,7,7,7,7,7,7,4,1,1,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,3,2,1,1,Qual2303-1206EqualDistribution,370,7249589,5e6176d2-6cf0-1fec-ecad-6aa7dbe47851,,,,,{Invalid Expression},,,,,,,,1,,9987
3/5/20 15:00,3/5/20 15:08,0,100,497,1,3/5/20 15:08,R_10UcuTwN5tuqeDn,anonymous,EN,,2,2,2,35,2,2,1,1,2,1,6,3,8,17,65,7,5,7,7,4,5,7,2,2,4,1,1,2,1,1,2,2,2,1,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,1,1,Qual2303-1206EqualDistribution,497,7249589,5e61764a-e600-fc06-5976-5d4b02eeca45,,,,,{Invalid Expression},,,,,,,,1,,9987
3/5/20 15:03,3/5/20 15:10,0,100,416,1,3/5/20 15:10,R_3INVDnqZxen8Fvr,anonymous,EN,,2,2,2,34,2,2,1,1,4,1,2,4,5,21,66,7,7,7,7,7,7,7,2,5,6,2,1,2,1,1,2,2,1,1,2,1,1,2,2,1,1,2,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,2,2,1,Qual2303-1206EqualDistribution,416,7249589,5e6176fc-ca70-4e56-56b7-79b3fab0dbdc,,,,,{Invalid Expression},,,,,,,,1,,9987
3/5/20 15:03,3/5/20 15:10,0,100,441,1,3/5/20 15:10,R_WlNtHCmyOKKBWRX,anonymous,EN,,2,2,2,64,2,2,1,1,3,1,2,2,1,16,37,1,1,1,1,1,1,1,7,7,7,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,2,Qual2303-1206EqualDistribution,441,7249589,5e61770f-1e75-1d62-b214-32085c88e26d,,,,,{Invalid Expression},,,,,,,,1,,9987
3/5/20 15:07,3/5/20 15:11,0,100,283,1,3/5/20 15:11,R_5cCrJD2qAlxo3jr,anonymous,EN,,2,2,1,63,2,2,1,1,4,1,2,3,7,5,37,2,2,2,3,1,2,1,2,2,6,2,2,2,1,1,2,1,1,1,1,2,1,2,2,1,1,2,2,2,2,1,2,2,1,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,8,2,2,1,1,Qual2303-1206EqualDistribution,283,7249589,5e6177cc-5f2b-ea80-1ce9-579dc3c89dfa,,,,,{Invalid Expression},,,,,,,,1,,9987
3/5/20 15:05,3/5/20 15:12,0,100,394,1,3/5/20 15:12,R_A0RWBliTMaPrGKd,anonymous,EN,,2,2,2,67,2,2,1,1,3,1,4,4,5,7,33,4,2,4,4,4,7,4,1,4,7,2,2,2,1,1,2,2,2,1,2,2,1,2,2,1,1,2,2,2,2,1,2,2,1,1,2,2,1,1,1,2,1,1,1,2,2,2,1,1,1,1,1,8,1,1,1,1,Qual2303-1206EqualDistribution,394,7249589,5e61777b-615f-c1f3-923d-4b53807f704c,,,,,{Invalid Expression},,,,,,,,1,,9987
3/5/20 14:59,3/5/20 15:12,0,100,753,1,3/5/20 15:12,R_UXY7wgAusiJQGIN,anonymous,EN,,2,2,1,34,2,2,1,1,5,1,11,5,8,7,66,7,7,7,7,7,7,7,4,3,7,1,1,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,1,1,1,2,Qual2303-1206EqualDistribution,753,7249589,5e617634-2fea-f650-3535-893610a214a3,,,,,{Invalid Expression},,,,,,,,1,,9987
3/5/20 15:04,3/5/20 15:12,0,100,463,1,3/5/20 15:12,R_3QWzKSTA1oMgQhy,anonymous,EN,,2,2,2,48,2,2,1,1,3,3,3,2,1,29,53,5,6,7,7,3,7,7,1,1,2,2,2,2,1,1,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,2,1,1,Qual2303-1206EqualDistribution,463,7249589,5e617776-f047-fbe3-1b12-54a3d564f395,,,,,{Invalid Expression},,,,,,,,1,,9987
3/5/20 15:02,3/5/20 15:12,0,100,586,1,3/5/20 15:12,R_1QyBADcjBHbHyvm,anonymous,EN,,2,2,2,60,2,2,1,1,3,1,8,3,7,16,40,2,5,2,3,2,2,3,6,6,6,2,1,2,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,1,2,2,2,2,1,2,2,1,3,3,2,2,1,Qual2303-1206EqualDistribution,586,7249589,5e617706-6c36-a169-5e54-bba5bc792b55,,,,,{Invalid Expression},,,,,,,,1,,9987
3/5/20 15:07,3/5/20 15:13,0,100,372,1,3/5/20 15:13,R_1pGQe1NsCN8LEdl,anonymous,EN,,2,2,2,57,2,2,1,1,2,1,5,3,6,17,43,5,6,6,6,6,5,6,6,6,7,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,3,1,1,1,Qual2303-1206EqualDistribution,372,7249589,5e6177d1-782a-7145-7c3e-627e879c8011,,,,,{Invalid Expression},,,,,,,,1,,9987
3/5/20 15:04,3/5/20 15:14,0,100,604,1,3/5/20 15:14,R_1IAyrEByUA8hrjV,anonymous,EN,,2,2,2,63,2,2,1,1,5,2,5,4,9,29,36,6,5,5,5,1,6,3,3,6,7,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,2,2,1,1,Qual2303-1206EqualDistribution,604,7249589,5e617761-1efb-f680-d298-86164e011568,,,,,{Invalid Expression},,,,,,,,1,,9987
3/5/20 15:07,3/5/20 15:14,0,100,434,1,3/5/20 15:14,R_30uUnPd2A0gNtLm,anonymous,EN,,2,2,2,63,2,2,1,1,2,1,2,4,3,16,37,4,4,5,4,3,6,6,4,5,4,2,1,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,8,1,2,1,1,Qual2303-1206EqualDistribution,434,7249589,5e617812-e0f1-a7ae-3c0a-a78b8b2e41d7,,,,,{Invalid Expression},,,,,,,,1,,9987
3/5/20 15:07,3/5/20 15:15,0,100,492,1,3/5/20 15:15,R_11dwSLpIUbeWxId,anonymous,EN,,2,2,2,71,2,2,1,1,4,1,1,4,9,16,29,6,6,6,5,7,7,7,2,3,5,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1,1,13,1,1,1,1,Qual2303-1206EqualDistribution,492,7249589,5e61781c-3b41-05fa-d69c-32b3c79116a2,,,,,{Invalid Expression},,,,,,,,1,,9987
3/5/20 15:00,3/5/20 15:15,0,100,944,1,3/5/20 15:15,R_3O3sXazz7vMn5Vk,anonymous,EN,,2,2,1,41,2,2,1,1,5,1,16,4,2,5,59,6,5,7,6,6,6,6,2,2,4,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12,1,1,1,2,Qual2303-1206EqualDistribution,944,7249589,5e617621-3ae1-40c4-b7ff-c4ccc7f38f13,,,,,{Invalid Expression},,,,,,,,1,,9987